col_missing,col_const,col_outliers,col_skewed,col_rare,col_email,gender,col_pii,col_corr1,col_corr2,col_type,age,price,zip_code,birth_year,col_anomaly,col_drift
,42,10.0,4.692680899768591,Common,user@example.com,M,ssn-like-123-45-6789,0,1e-05,10,25,10.0,10000,1980,50.0,10.0
,42,10.0,30.10121430917521,Common,user@example.com,M,ssn-like-123-45-6789,1,1.00001,20,25,10.0,10001,1981,0.3756980183456719,10.0
,42,10.0,13.167456935454494,Common,user@example.com,M,ssn-like-123-45-6789,2,2.00001,30,25,10.0,10002,1982,-0.600638689918805,10.0
,42,10.0,9.129425537759532,Common,user@example.com,M,ssn-like-123-45-6789,3,3.00001,40,25,10.0,10003,1983,-0.2916937497932768,10.0
,42,10.0,1.6962487046234629,Common,user@example.com,M,ssn-like-123-45-6789,4,4.00001,50,25,10.0,10004,1984,-0.6017066122293969,10.0
,42,10.0,1.695962919146052,Common,user@example.com,M,ssn-like-123-45-6789,5,5.00001,10,25,10.0,10005,1985,1.8522781845089376,10.0
,42,10.0,0.5983876860868067,Common,user@example.com,M,ssn-like-123-45-6789,6,6.00001,20,25,10.0,10006,1986,-0.0134972247379339,10.0
,42,10.0,20.112308644799395,Common,user@example.com,M,ssn-like-123-45-6789,7,7.00001,30,25,10.0,10007,1987,-1.0577109289559004,10.0
,42,10.0,9.190821536272646,Common,user@example.com,M,ssn-like-123-45-6789,8,8.00001,40,25,10.0,10008,1988,0.822544912103189,10.0
,42,10.0,12.312500617045902,Common,user@example.com,M,ssn-like-123-45-6789,9,9.00001,50,25,10.0,10009,1989,-1.2208436499710222,10.0
1.0,42,10.0,0.2079930799913862,Common,user@example.com,M,ssn-like-123-45-6789,10,10.00001,10,25,10.0,10010,1990,0.2088635950047554,10.0
1.0,42,10.0,35.03557475158312,Common,user@example.com,M,ssn-like-123-45-6789,11,11.00001,20,25,10.0,10011,1991,-1.959670123879776,10.0
1.0,42,10.0,17.86429543354675,Common,user@example.com,M,ssn-like-123-45-6789,12,12.00001,30,25,10.0,10012,1992,-1.3281860488984305,10.0
1.0,42,10.0,2.3868762524894698,Common,user@example.com,M,ssn-like-123-45-6789,13,13.00001,40,25,10.0,10013,1993,0.1968612358691235,10.0
1.0,42,10.0,2.006789887496633,Common,user@example.com,M,ssn-like-123-45-6789,14,14.00001,50,25,10.0,10014,1994,0.7384665799954104,10.0
1.0,42,10.0,2.0261142283225704,Common,user@example.com,M,ssn-like-123-45-6789,15,15.00001,10,25,10.0,10015,1995,0.1713682811899705,10.0
1.0,42,10.0,3.627537294604771,Common,user@example.com,M,ssn-like-123-45-6789,16,16.00001,20,25,10.0,10016,1996,-0.1156482823882405,10.0
1.0,42,10.0,7.439278308608545,Common,user@example.com,M,ssn-like-123-45-6789,17,17.00001,30,25,10.0,10017,1997,-0.3011036955892888,10.0
1.0,42,10.0,5.655370667803367,Common,user@example.com,M,ssn-like-123-45-6789,18,18.00001,40,25,10.0,10018,1998,-1.4785219903674274,10.0
1.0,42,10.0,3.442229925539415,Common,user@example.com,M,ssn-like-123-45-6789,19,19.00001,50,25,10.0,10019,1999,-0.7198442083947086,10.0
1.0,42,10.0,9.463708738997989,Common,user@example.com,M,ssn-like-123-45-6789,20,20.00001,10,25,10.0,10020,2000,-0.4606387709597875,10.0
1.0,42,10.0,1.502345287273387,Common,user@example.com,M,ssn-like-123-45-6789,21,21.00001,20,25,10.0,10021,2001,1.0571222262189155,10.0
1.0,42,10.0,3.4551551200240227,Common,user@example.com,M,ssn-like-123-45-6789,22,22.00001,30,25,10.0,10022,2002,0.3436182895684614,10.0
1.0,42,10.0,4.56277218220847,Common,user@example.com,M,ssn-like-123-45-6789,23,23.00001,40,25,10.0,10023,2003,-1.763040155362734,10.0
1.0,42,10.0,6.08934687859775,Common,user@example.com,M,ssn-like-123-45-6789,24,24.00001,50,25,10.0,10024,2004,0.324083969394795,10.0
1.0,42,10.0,15.379360110309118,Common,invalid-email,M,ssn-like-123-45-6789,25,25.00001,10,25,10.0,10025,2005,-0.3850822804163165,10.0
1.0,42,10.0,2.227358621286903,Common,invalid-email,M,ssn-like-123-45-6789,26,26.00001,20,25,10.0,10026,2006,-0.6769220003059587,10.0
1.0,42,10.0,7.220291550331277,Common,invalid-email,M,ssn-like-123-45-6789,27,27.00001,30,25,10.0,10027,2007,0.6116762888408679,10.0
1.0,42,9999.0,8.975047213097605,Rare1,invalid-email,F,ssn-like-123-45-6789,28,28.00001,40,-5,10.0,10028,2008,1.030999522495951,10.0
1.0,42,-8888.0,0.4756384975640854,Rare2,invalid-email,F,ssn-like-123-45-6789,29,29.00001,50,150,-1.0,10029,2009,0.9312801191161986,10.0
,42,10.0,4.692680899768591,Common,user@example.com,M,ssn-like-123-45-6789,0,1e-05,10,25,10.0,10000,1980,50.0,10.0
,42,10.0,30.10121430917521,Common,user@example.com,M,ssn-like-123-45-6789,1,1.00001,20,25,10.0,10001,1981,0.3756980183456719,10.0
,42,10.0,13.167456935454494,Common,user@example.com,M,ssn-like-123-45-6789,2,2.00001,30,25,10.0,10002,1982,-0.600638689918805,10.0
,42,10.0,9.129425537759532,Common,user@example.com,M,ssn-like-123-45-6789,3,3.00001,40,25,10.0,10003,1983,-0.2916937497932768,10.0
,42,10.0,1.6962487046234629,Common,user@example.com,M,ssn-like-123-45-6789,4,4.00001,50,25,10.0,10004,1984,-0.6017066122293969,10.0
