col_outliers,col_skewed,col_email,col_type,zip_code,col_anomaly
10.0,4.692680899768591,user@example.com,10,10000,2.3688815329728996
10.0,20.37407935594615,user@example.com,20,10001,0.3756980183456719
10.0,13.167456935454494,user@example.com,30,10002,-0.600638689918805
10.0,9.129425537759532,user@example.com,40,10003,-0.2916937497932768
10.0,1.6962487046234629,user@example.com,50,10004,-0.6017066122293969
10.0,1.695962919146052,user@example.com,10,10005,1.8522781845089376
10.0,0.5983876860868067,user@example.com,20,10006,-0.0134972247379339
10.0,20.112308644799395,user@example.com,30,10007,-1.0577109289559004
10.0,9.190821536272646,user@example.com,40,10008,0.822544912103189
10.0,12.312500617045902,user@example.com,50,10009,-1.2208436499710222
10.0,0.2079930799913862,user@example.com,10,10010,0.2088635950047554
10.0,20.37407935594615,user@example.com,20,10011,-1.959670123879776
10.0,17.86429543354675,user@example.com,30,10012,-1.3281860488984305
10.0,2.3868762524894698,user@example.com,40,10013,0.1968612358691235
10.0,2.006789887496633,user@example.com,50,10014,0.7384665799954104
10.0,2.0261142283225704,user@example.com,10,10015,0.1713682811899705
10.0,3.627537294604771,user@example.com,20,10016,-0.1156482823882405
10.0,7.439278308608545,user@example.com,30,10017,-0.3011036955892888
10.0,5.655370667803367,user@example.com,40,10018,-1.4785219903674274
10.0,3.442229925539415,user@example.com,50,10019,-0.7198442083947086
10.0,9.463708738997989,user@example.com,10,10020,-0.4606387709597875
10.0,1.502345287273387,user@example.com,20,10021,1.0571222262189155
10.0,3.4551551200240227,user@example.com,30,10022,0.3436182895684614
10.0,4.56277218220847,user@example.com,40,10023,-1.763040155362734
10.0,6.08934687859775,user@example.com,50,10024,0.324083969394795
10.0,15.379360110309118,invalid-email,10,10025,-0.3850822804163165
10.0,2.227358621286903,invalid-email,20,10026,-0.6769220003059587
10.0,7.220291550331277,invalid-email,30,10027,0.6116762888408679
10.0,8.975047213097605,invalid-email,40,10028,1.030999522495951
10.0,0.4756384975640854,invalid-email,50,10029,0.9312801191161986
